agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info
City,36071,blooming grove town police department,11822,0,0,0,5,105,0,110,-74.306252,41.40241,
City,36071,montgomery town police department,9222,0,0,0,0,8,0,8,-74.306252,41.40241,
City,36071,crawford town police department,9210,0,0,0,2,21,0,23,-74.306252,41.40241,
City,36071,chester town police department,8095,0,0,0,0,7,0,7,-74.306252,41.40241,
City,36071,wallkill town police department,29159,0,0,0,49,630,0,679,-74.306252,41.40241,
City,36071,goshen town police department,8938,12,1,12,1,18,0,19,-74.306252,41.40241,
County,36073,orleans county sheriff's office,26849,0,0,0,12,84,0,96,-78.229726,43.502287,
City,36073,albion village police department,5698,0,0,0,24,147,0,171,-78.229726,43.502287,
City,36073,holley village police department,1669,0,0,0,1,9,0,10,-78.229726,43.502287,
City,36073,medina village police department,5613,0,0,0,14,80,0,94,-78.229726,43.502287,
County,36075,oswego county sheriff's office,81507,12,1,12,35,260,0,295,-76.209258,43.461443,
City,36075,fulton police department,11017,0,0,0,9,258,0,267,-76.209258,43.461443,
City,36075,oswego police department,17138,12,1,12,41,453,0,494,-76.209258,43.461443,
City,36075,central square vlg police dept,1740,0,0,0,0,40,0,40,-76.209258,43.461443,
City,36075,pulaski village police department,2211,0,0,0,0,29,0,29,-76.209258,43.461443,
City,36075,phoenix vlg police dept,2226,0,0,0,3,7,0,10,-76.209258,43.461443,
County,36077,otsego county sheriff's office,43171,0,1,8,7,15,0,22,-75.028841,42.629776,
City,36077,oneonta police department,13904,11,1,12,19,175,0,194,-75.028841,42.629776,
City,36077,cooperstown village police department,1743,0,0,0,0,1,0,1,-75.028841,42.629776,
County,36079,putnam county sheriff's office,46063,0,0,0,12,117,0,129,-73.743882,41.427904,
City,36079,cold spring vlg police dept,1940,0,0,0,0,12,0,12,-73.743882,41.427904,
City,36079,brewster village pd brewster,2329,0,0,0,2,9,0,11,-73.743882,41.427904,
City,36079,carmel town police department,34093,10,1,12,5,113,0,118,-73.743882,41.427904,
City,36079,kent town police department,13123,0,0,0,1,38,0,39,-73.743882,41.427904,
County,36083,rensselaer county sheriff's office,54944,0,0,0,20,147,0,167,-73.513845,42.710421,
City,36083,rensselaer police dept,9149,0,0,0,19,83,0,102,-73.513845,42.710421,
City,36083,troy police department,49052,0,0,0,330,1439,9,1769,-73.513845,42.710421,
City,36083,hoosick falls village police department,3331,0,0,0,2,14,0,16,-73.513845,42.710421,
City,36083,nassau village police department,1094,0,0,0,1,5,0,6,-73.513845,42.710421,
City,36083,east greenbush town police department,16186,0,0,0,15,530,0,545,-73.513845,42.710421,
City,36083,north greenbush town police department,12264,0,0,0,12,179,0,191,-73.513845,42.710421,
City,36083,schodack town police department,11617,0,0,0,6,47,0,53,-73.513845,42.710421,
County,36087,rockland county sheriff's office,10682,11,1,1,0,0,0,0,-74.024645,41.154639,
City,36087,piermont village police department,2533,8,1,9,0,4,0,4,-74.024645,41.154639,
City,36087,south nyack - grand view village police department,3294,11,0,0,1,15,0,16,-74.024645,41.154639,
City,36087,spring valley village police department,32356,12,1,12,96,344,2,440,-74.024645,41.154639,
City,36087,suffern village police department,11037,0,1,10,2,47,0,49,-74.024645,41.154639,
City,36087,clarkstown town police department,80462,12,1,12,44,875,0,919,-74.024645,41.154639,
City,36087,haverstraw town police department,37034,0,1,8,29,225,2,254,-74.024645,41.154639,
City,36087,orangetown town police department,37320,12,1,10,15,289,1,304,-74.024645,41.154639,
City,36087,ramapo town police department,95165,0,0,0,73,485,0,558,-74.024645,41.154639,
City,36087,stony point town police department,15338,12,1,12,3,45,0,48,-74.024645,41.154639,
Other State Agency,36087,nys park police palisades region,0,0,0,0,0,0,0,0,-74.024645,41.154639,
County,36089,st. lawrence county sheriff's office,61104,12,1,12,8,20,0,28,-75.074311,44.488112,
City,36089,ogdensburg police department,10364,12,1,12,22,131,0,153,-75.074311,44.488112,
City,36089,massena village police department,10123,11,1,11,7,90,0,97,-75.074311,44.488112,
City,36089,canton village police department,6516,4,1,12,0,13,0,13,-75.074311,44.488112,
City,36089,gouverneur village police department,3637,12,1,12,0,0,0,0,-75.074311,44.488112,
City,36089,norwood vlg police dept,1549,0,0,0,3,15,0,18,-75.074311,44.488112,
City,36089,potsdam village police department,8943,8,1,9,2,45,0,47,-75.074311,44.488112,
City,36089,norfolk town police dept,4380,0,0,0,1,1,0,2,-75.074311,44.488112,
County,36091,saratoga county sheriff's office,171244,12,1,12,66,890,0,956,-73.855387,43.106135,
City,36091,saratoga springs police department,28397,0,0,0,53,453,1,506,-73.855387,43.106135,
City,36091,ballston spa village police department,5204,0,0,0,0,39,0,39,-73.855387,43.106135,
City,36091,mechanicville police department,5018,0,0,0,13,41,0,54,-73.855387,43.106135,
City,36091,south glens falls village police department,3647,0,0,0,5,28,0,33,-73.855387,43.106135,
Other State Agency,36091,nys park police saratoga/capital region,0,0,0,0,0,0,0,0,-73.855387,43.106135,
City,36091,waterford town police department,8466,0,0,0,3,17,0,20,-73.855387,43.106135,
City,36091,galway vlg police dept,190,0,0,0,,,,,,,
City,36091,stillwater town police dept,7340,0,0,0,1,14,0,15,-73.855387,43.106135,
City,36093,schenectady police department,7446,0,1,12,468,1652,5,2120,-74.043548,42.817539,
County,36093,schenectady county sheriff's office,65176,12,1,12,4,10,0,14,-74.043548,42.817539,
City,36093,scotia village police department,7631,0,0,0,7,146,0,153,-74.043548,42.817539,
City,36093,glenville town police department,21609,0,0,0,12,313,0,325,-74.043548,42.817539,
City,36093,niskayuna town police department,22428,0,0,0,18,422,0,440,-74.043548,42.817539,
City,36093,rotterdam town police department,30071,0,1,12,35,715,0,750,-74.043548,42.817539,
County,36095,schoharie county sheriff's office,25492,0,1,12,4,37,0,41,-74.438172,42.591294,
City,36095,cobleskill village police department,4323,0,0,0,19,126,0,145,-74.438172,42.591294,
City,36095,schoharie village pd schoharie,806,0,0,0,0,4,0,4,-74.438172,42.591294,
County,36097,schuyler county sheriff's office,15763,0,0,0,6,10,0,16,-76.938603,42.419776,
City,36097,watkins glen village police department,1874,0,0,0,0,7,0,7,-76.938603,42.419776,
County,36099,seneca county sheriff's office,19652,12,1,11,7,81,0,88,-76.827088,42.782294,
City,36099,seneca falls town,8573,12,1,12,15,163,0,178,-76.827088,42.782294,
City,36099,interlaken vlg police dept,598,0,0,0,0,0,0,0,-76.827088,42.782294,
City,36099,waterloo vlg police dept,4842,12,1,11,10,35,1,45,-76.827088,42.782294,
County,36101,steuben county sheriff's office,58880,0,1,9,10,76,0,86,-77.385525,42.266725,
City,36101,corning police department,10469,0,0,0,33,274,1,307,-77.385525,42.266725,
City,36101,hornell police department,8272,0,0,0,0,0,0,0,-77.385525,42.266725,
City,36101,addison village police department,2458,0,0,0,6,7,0,13,-77.385525,42.266725,
City,36101,bath village police department,5438,0,0,0,2,44,0,46,-77.385525,42.266725,
City,36101,canisteo vlg police dept,2120,0,0,0,1,4,0,5,-77.385525,42.266725,
City,36101,cohocton town police dept,2435,0,0,0,0,3,0,3,-77.385525,42.266725,
City,36101,painted post village police department,1939,0,0,0,1,2,0,3,-77.385525,42.266725,
City,36101,hammondsport village police department,618,0,0,0,0,16,0,16,-77.385525,42.266725,
City,36101,wayland village police department,1753,0,0,0,0,3,0,3,-77.385525,42.266725,
County,36103,suffolk county sheriff's office,0,0,0,0,18,0,0,18,-72.692218,40.943554,
County,36103,suffolk county police department,1303112,0,0,0,1118,14966,30,16084,-72.692218,40.943554,
City,36103,amityville village police department,9387,0,0,0,5,61,2,66,-72.692218,40.943554,
City,36103,sag harbor village police department,2296,0,0,0,0,0,0,0,-72.692218,40.943554,
City,36103,northport village police department,7258,0,0,0,0,2,0,2,-72.692218,40.943554,
City,36103,southampton village police department,3330,0,0,0,0,45,0,45,-72.692218,40.943554,
City,36103,east hampton village police department,1140,0,0,0,1,23,0,24,-72.692218,40.943554,
City,36103,ocean beach village police dept,83,0,0,0,0,9,0,9,-72.692218,40.943554,
City,36103,huntington bay village police department,1436,0,0,0,0,7,0,7,-72.692218,40.943554,
City,36103,lloyd harbor village police department,3655,0,0,0,2,12,0,14,-72.692218,40.943554,
City,36103,quogue village police department,1019,0,0,0,1,31,0,32,-72.692218,40.943554,
City,36103,westhampton beach village police department,1806,0,0,0,0,24,0,24,-72.692218,40.943554,
City,36103,nissequogue village police department,1730,0,0,0,0,10,0,10,-72.692218,40.943554,
City,36103,asharoken village police department,644,0,0,0,0,1,0,1,-72.692218,40.943554,
City,36103,head of the harbor vlg pd,1455,0,0,0,0,0,0,0,-72.692218,40.943554,
City,36103,east hampton town police department,19927,0,0,0,2,86,0,88,-72.692218,40.943554,
City,36103,riverhead town police department,33461,0,0,0,28,479,0,507,-72.692218,40.943554,
City,36103,shelter island town police department,2419,0,0,0,0,0,0,0,-72.692218,40.943554,
City,36103,southampton town police department,51162,0,0,0,38,595,1,633,-72.692218,40.943554,
City,36103,southold town police department,19957,12,1,12,11,270,0,281,-72.692218,40.943554,
Other State Agency,36103,nys park police long island region,0,0,0,0,0,0,0,0,-72.692218,40.943554,
County,36105,sullivan county sheriff's office,51177,0,0,0,23,222,3,245,-74.76468,41.720176,
City,36105,liberty village police department,4182,0,0,0,24,150,1,174,-74.76468,41.720176,
City,36105,monticello village police department,6338,0,0,0,23,83,0,106,-74.76468,41.720176,
City,36105,woodridge vlg police dept,771,0,0,0,3,11,0,14,-74.76468,41.720176,
City,36105,fallsburg town police department,12264,0,0,0,0,5,0,5,-74.76468,41.720176,
County,36107,tioga county sheriff's office,39668,0,1,8,14,118,0,132,-76.297456,42.178057,
City,36107,waverly village police department,4083,0,0,0,0,4,0,4,-76.297456,42.178057,
City,36107,owego village police department,3846,0,0,0,15,176,0,191,-76.297456,42.178057,
County,36109,tompkins county sheriff's office,61078,0,0,0,27,242,0,269,-76.473481,42.453003,
City,36109,ithaca police department,30927,0,0,0,98,1159,0,1257,-76.473481,42.453003,
City,36109,dryden village police department,2066,0,0,0,3,57,0,60,-76.473481,42.453003,
City,36109,groton village police department,2211,0,0,0,0,35,0,35,-76.473481,42.453003,
City,36109,trumansburg vlg police dept,1709,0,0,0,0,26,0,26,-76.473481,42.453003,
City,36109,cayuga heights village police department,3589,0,0,0,2,15,0,17,-76.473481,42.453003,
Other State Agency,36109,nys park police finger lakes region,0,0,0,0,0,0,0,0,-76.473481,42.453003,
County,36111,ulster county sheriff's office,41917,12,1,12,5,117,0,122,-74.265458,41.947216,
City,36111,kingston police department,22682,0,0,0,85,460,3,545,-74.265458,41.947216,
Other,36111,ulster reg gng enf nrc t,0,11,1,3,1,0,0,1,-74.265458,41.947216,
City,36111,ellenville village police department,4000,0,0,0,9,20,0,29,-74.265458,41.947216,
City,36111,new paltz town & village police department,14040,9,0,0,0,0,0,0,-74.265458,41.947216,
City,36111,lloyd town police department,10484,10,1,12,6,81,0,87,-74.265458,41.947216,
City,36111,marlborough town police department,8579,5,1,12,2,19,0,21,-74.265458,41.947216,
City,36111,plattekill town police dept,10168,12,1,12,0,29,0,29,-74.265458,41.947216,
City,36111,woodstock town police department,5754,11,1,12,4,43,0,47,-74.265458,41.947216,
City,36111,saugerties town police department,18956,11,1,11,21,146,1,167,-74.265458,41.947216,
City,36111,shandaken town police department,2921,8,1,9,0,1,0,1,-74.265458,41.947216,
City,36111,rosendale town police department,5755,10,1,4,0,19,0,19,-74.265458,41.947216,
City,36111,ulster town police department,12626,11,1,6,11,155,0,166,-74.265458,41.947216,
City,36111,olive town police department,4254,0,0,0,0,3,0,3,-74.265458,41.947216,
City,36111,shawangunk town police department,13782,11,1,9,3,39,0,42,-74.265458,41.947216,
County,36113,warren county sheriff's office,46897,12,1,11,32,306,0,338,-73.838139,43.555105,
City,36113,glens falls police department,14215,12,1,12,10,105,0,115,-73.838139,43.555105,
City,36113,bolton town police department,2239,0,0,0,0,6,0,6,-73.838139,43.555105,
County,36115,washington county sheriff's office,41826,0,0,0,21,73,0,94,-73.439428,43.312377,
City,36115,cambridge village police department,1803,0,0,0,1,17,0,18,-73.439428,43.312377,
City,36115,greenwich village police department,1708,0,0,0,0,11,0,11,-73.439428,43.312377,
City,36115,fort edward village police department,3256,7,0,0,2,2,0,4,-73.439428,43.312377,
City,36115,granville village police department,2428,0,0,0,2,7,0,9,-73.439428,43.312377,
City,36115,hudson falls village police department,7029,0,0,0,7,17,0,24,-73.439428,43.312377,
City,36115,whitehall village police department,2533,0,0,0,0,0,0,0,-73.439428,43.312377,
County,36117,wayne county sheriff's office,61892,0,0,0,42,217,0,259,-77.063164,43.458758,
City,36117,newark village police department,8784,0,0,0,31,294,0,325,-77.063164,43.458758,
City,36117,wolcott village police department,1604,0,0,0,0,0,0,0,-77.063164,43.458758,
City,36117,clyde village police department,1948,0,0,0,5,34,0,39,-77.063164,43.458758,
City,36117,palmyra village police department,3299,0,0,0,0,10,0,10,-77.063164,43.458758,
City,36117,sodus village police department,1696,0,0,0,0,0,0,0,-77.063164,43.458758,
City,36117,sodus point village police department,854,0,0,0,0,0,0,0,-77.063164,43.458758,
City,36117,macedon town police department,8856,0,0,0,9,88,0,97,-77.063164,43.458758,
County,36119,westchester county department of public safety,69019,0,0,0,15,154,0,169,-73.745912,41.15277,
City,36119,peekskill police department,24371,0,0,0,33,177,3,210,-73.745912,41.15277,
City,36119,white plains police department,58240,0,0,0,72,961,2,1033,-73.745912,41.15277,
City,36119,mount vernon police department,67339,0,0,0,382,894,7,1276,-73.745912,41.15277,
City,36119,new rochelle police department,78707,12,1,11,20,263,0,283,-73.745912,41.15277,
City,36119,ossining village police department,24786,0,0,0,17,197,0,214,-73.745912,41.15277,
City,36119,port chester village police department,29181,0,0,0,22,212,0,234,-73.745912,41.15277,
City,36119,yonkers police department,200816,11,1,11,653,2002,7,2655,-73.745912,41.15277,
City,36119,rye police department,15692,0,0,0,0,20,0,20,-73.745912,41.15277,
City,36119,mamaroneck village police department,19154,0,0,0,20,182,0,202,-73.745912,41.15277,
City,36119,scarsdale village police department,17953,12,1,3,3,123,0,126,-73.745912,41.15277,
City,36119,croton-on-hudson village police department,8097,0,0,0,2,40,0,42,-73.745912,41.15277,
City,36119,bronxville village police department,6422,0,0,0,1,22,0,23,-73.745912,41.15277,
City,36119,tuckahoe village police department,6554,0,0,0,2,21,0,23,-73.745912,41.15277,
City,36119,ardsley village police department,4515,0,0,0,2,28,0,30,-73.745912,41.15277,
City,36119,dobbs ferry village police department,11037,0,0,0,2,96,0,98,-73.745912,41.15277,
City,36119,hastings village police department,7853,0,0,0,2,94,0,96,-73.745912,41.15277,
City,36119,irvington village police department,6478,0,0,0,2,29,0,31,-73.745912,41.15277,
City,36119,tarrytown village police department,11383,12,1,12,9,56,0,65,-73.745912,41.15277,
City,36119,larchmont village police department,6112,0,0,0,4,82,0,86,-73.745912,41.15277,
City,36119,briarcliff manor village police department,8126,0,0,0,2,34,0,36,-73.745912,41.15277,
City,36119,sleepy hollow village police department,10064,0,0,0,0,27,0,27,-73.745912,41.15277,
City,36119,pleasantville village police department,7280,0,0,0,4,55,0,59,-73.745912,41.15277,
City,36119,pelham village police department,6956,0,0,0,1,57,0,58,-73.745912,41.15277,
City,36119,pelham manor village police department,5535,0,0,0,1,134,0,135,-73.745912,41.15277,
City,36119,elmsford village police department,5279,0,0,0,1,11,0,12,-73.745912,41.15277,
City,36119,buchanan village police department,2233,0,0,0,0,12,0,12,-73.745912,41.15277,
City,36119,bedford police department,17672,12,1,12,2,42,0,44,-73.745912,41.15277,
City,36119,eastchester town police department,19991,0,0,0,1,136,0,137,-73.745912,41.15277,
City,36119,greenburgh town police department,44727,12,1,12,25,437,0,462,-73.745912,41.15277,
City,36119,harrison town police department,29110,0,0,0,6,126,0,132,-73.745912,41.15277,
City,36119,lewisboro town police department,12533,0,0,0,0,0,0,0,-73.745912,41.15277,
City,36119,mamaroneck town police department,12017,0,0,0,0,54,0,54,-73.745912,41.15277,
City,36119,mount pleasant town police department,26966,0,0,0,12,140,0,152,-73.745912,41.15277,
City,36119,new castle town police department,17824,0,0,0,0,77,0,77,-73.745912,41.15277,
City,36119,north castle town police department,12266,0,0,0,1,88,0,89,-73.745912,41.15277,
City,36119,pound ridge town police department,5133,0,0,0,1,40,0,41,-73.745912,41.15277,
City,36119,yorktown town police department,36284,12,1,12,7,198,0,205,-73.745912,41.15277,
City,36119,rye brook village police department,9542,0,0,0,0,76,0,76,-73.745912,41.15277,
County,36121,wyoming county sheriff's office,28481,11,1,12,20,128,0,148,-78.228567,42.701363,
City,36121,arcade village police department,1919,7,1,11,3,14,0,17,-78.228567,42.701363,
City,36121,attica village police department,2389,0,0,0,0,14,0,14,-78.228567,42.701363,
City,36121,perry village police department,3471,0,0,0,3,49,0,52,-78.228567,42.701363,
City,36121,warsaw village police department,3225,0,0,0,6,31,0,37,-78.228567,42.701363,
Other State Agency,36121,nys park police genesee region,0,0,0,0,0,0,0,0,-78.228567,42.701363,
County,36123,yates county sheriff's office,19804,11,1,12,10,123,1,133,-77.104324,42.638237,
City,36123,penn yan police department,4900,0,0,0,3,59,0,62,-77.104324,42.638237,
State Police,36001,sp: albany county,0,0,0,0,26,79,0,105,-73.974015,42.588272,
State Police,36003,sp: allegany county,0,0,0,0,56,215,2,271,-78.026115,42.247871,
State Police,36007,sp: broome county,0,0,0,0,74,389,1,463,-75.830283,42.161977,
State Police,36009,sp: cattaraugus county,0,0,0,0,39,200,0,239,-78.662421,42.239169,
State Police,36011,sp: cayuga county,0,0,0,0,55,193,0,248,-76.574587,43.008546,
State Police,36013,sp: chautauqua county,0,0,0,0,32,126,0,158,-79.407595,42.304216,
State Police,36015,sp: chemung county,0,0,0,0,89,165,1,254,-76.747179,42.15528,
State Police,36017,sp: chenango county,0,0,0,0,56,154,0,210,-75.604905,42.489732,
State Police,36019,sp: clinton county,0,0,0,0,94,740,1,834,-73.705643,44.752712,
State Police,36021,sp: columbia county,0,0,0,0,37,161,0,198,-73.626803,42.247728,
State Police,36023,sp: cortland county,0,0,0,0,23,83,0,106,-76.07624,42.594039,
State Police,36025,sp: delaware county,0,0,0,0,28,135,0,163,-74.966728,42.193986,
State Police,36027,sp: dutchess county,0,0,0,0,155,451,1,606,-73.739951,41.75501,
State Police,36029,sp: erie county,0,0,0,0,38,288,0,326,-78.778192,42.752759,
State Police,36031,sp: essex county,0,0,0,0,44,206,0,250,-73.777573,44.108971,
State Police,36033,sp: franklin county,0,0,0,0,42,330,0,372,-74.31067,44.594376,
State Police,36035,sp: fulton county,0,0,0,0,11,70,0,81,-74.423678,43.115609,
State Police,36037,sp: genesee county,0,0,0,0,8,91,0,99,-78.192778,43.00091,
State Police,36039,sp: greene county,0,0,0,0,172,198,0,370,-74.149554,42.286964,
State Police,36041,sp: hamilton county,0,0,0,0,6,25,0,31,-74.502456,43.657879,
State Police,36043,sp: herkimer county,0,0,0,0,44,174,0,218,-74.841097,43.571009,
State Police,36045,sp: jefferson county,0,0,0,0,75,517,0,592,-76.053514,43.995371,
State Police,36049,sp: lewis county,0,0,0,0,16,75,0,91,-75.44414,43.782681,
State Police,36051,sp: livingston county,0,0,0,0,16,32,0,48,-77.769779,42.727485,
State Police,36053,sp: madison county,0,0,0,0,32,133,0,165,-75.663575,42.910026,
State Police,36055,sp: monroe county,0,0,0,0,45,49,0,94,-77.664656,43.464475,
State Police,36057,sp: montgomery cnty,0,0,0,0,14,92,1,106,-74.435357,42.900891,
State Police,36059,sp: nassau county,0,0,0,0,9,10,0,19,-73.589419,40.729612,
State Police,36061,sp: new york county,0,0,0,0,9,16,0,25,-73.970174,40.776557,
State Police,36063,sp: niagara county,0,0,0,0,38,214,1,252,-78.792142,43.456731,
State Police,36065,sp: oneida county,0,0,0,0,88,358,1,446,-75.434282,43.242727,
State Police,36067,sp: onondaga county,0,0,0,0,76,579,0,655,-76.196117,43.00653,
State Police,36069,sp: ontario county,0,0,0,0,34,247,0,281,-77.303277,42.856695,
State Police,36071,sp: orange county,0,0,0,0,105,390,0,495,-74.306252,41.40241,
State Police,36073,sp: orleans county,0,0,0,0,12,64,0,76,-78.229726,43.502287,
State Police,36075,sp: oswego county,0,0,0,0,88,442,0,530,-76.209258,43.461443,
State Police,36077,sp: otsego county,0,0,0,0,44,329,0,373,-75.028841,42.629776,
State Police,36079,sp: putnam county,0,0,0,0,17,71,0,88,-73.743882,41.427904,
State Police,36083,sp: rensselaer county,0,0,0,0,44,272,0,316,-73.513845,42.710421,
State Police,36087,sp: rockland county,0,0,0,0,3,4,0,7,-74.024645,41.154639,
State Police,36089,sp: st lawrence county,0,0,0,0,60,318,1,378,-75.074311,44.488112,
State Police,36091,sp: saratoga county,0,0,0,0,79,459,2,538,-73.855387,43.106135,
State Police,36093,sp: schenectady county,0,0,0,0,10,38,0,48,-74.043548,42.817539,
State Police,36095,sp: schoharie county,0,0,0,0,19,100,0,119,-74.438172,42.591294,
State Police,36097,sp: schuyler county,0,0,0,0,4,23,0,27,-76.938603,42.419776,
State Police,36099,sp: seneca county,0,0,0,0,19,88,0,107,-76.827088,42.782294,
State Police,36101,sp: steuben county,0,0,0,0,63,316,2,379,-77.385525,42.266725,
State Police,36103,sp: suffolk county,0,0,0,0,19,18,0,37,-72.692218,40.943554,
State Police,36105,sp: sullivan county,0,0,0,0,71,206,0,277,-74.76468,41.720176,
State Police,36107,sp: tioga county,0,0,0,0,29,67,0,96,-76.297456,42.178057,
State Police,36109,sp: tompkins county,0,0,0,0,25,226,0,251,-76.473481,42.453003,
State Police,36111,sp: ulster county,0,0,0,0,65,370,1,435,-74.265458,41.947216,
State Police,36113,sp: warren county,0,0,0,0,33,231,0,264,-73.838139,43.555105,
State Police,36115,sp: washington county,0,0,0,0,33,92,0,125,-73.439428,43.312377,
State Police,36117,sp: wayne county,0,0,0,0,67,369,1,436,-77.063164,43.458758,
State Police,36119,sp: westchester county,0,0,0,0,111,332,1,443,-73.745912,41.15277,
State Police,36121,sp: wyoming county,0,0,0,0,13,26,0,39,-78.228567,42.701363,
State Police,36123,sp: yates county,0,0,0,0,3,23,0,26,-77.104324,42.638237,
University or College,36001,state university at albany police,0,0,0,0,0,62,0,62,-73.974015,42.588272,SUNY Albany
University or College,36003,state university college of technology at alfred p,0,0,0,0,3,14,0,17,-78.026115,42.247871,SUNY Alfred
University or College,36007,binghamton university police,0,0,0,0,0,87,0,87,-75.830283,42.161977,SUNY Binghamton
University or College,36013,state university college at fredonia police,0,11,1,9,0,10,0,10,-79.407595,42.304216,SUNY Fredonia
University or College,36019,state university college at plattsburgh police,0,0,0,0,1,28,0,29,-73.705643,44.752712,SUNY Plattsburgh
University or College,36023,state university at cortland police,0,0,0,0,2,12,0,14,-76.07624,42.594039,SUNY Cortland
University or College,36025,suny college: technology,0,0,0,0,0,11,0,11,-74.966728,42.193986,SUNY Delhi
University or College,36029,state university at buffalo police,0,7,1,12,6,92,0,98,-78.778192,42.752759,SUNY Buffalo
University or College,36029,buffalo state college police,0,11,1,12,6,38,0,44,-78.778192,42.752759,SUNY Buffalo State College
University or College,36047,suny health science center at brooklyn police,0,0,0,0,0,17,0,17,-73.950777,40.635133,SUNY Downstate Medical 
University or College,36051,state university college at geneseo police,0,7,1,9,0,20,0,20,-77.769779,42.727485,SUNY Geneseo
University or College,36053,morrisville state college police,0,0,1,9,3,28,0,31,-75.663575,42.910026,SUNY Morrisville
University or College,36055,state university college at brockport police,0,10,1,12,0,20,0,20,-77.664656,43.464475,SUNY Brockport
University or College,,nanoscale science and engineering,0,0,0,0,,,,,,,SUNY Nanoscale Science and Engineering
University or College,36059,state university college at old westbury police,0,0,0,0,2,6,0,8,-73.589419,40.729612,SUNY Old Westbury
University or College,36061,"state university of new york, college of optometry",0,11,1,3,0,1,0,1,-73.970174,40.776557,SUNY Optometry
University or College,36065,suny institute of technology at utica/rome police,0,12,1,6,0,6,0,6,-75.434282,43.242727,SUNY Polytechnic Institute
University or College,36067,suny college of environmental science & forestry p,0,0,0,0,0,18,0,18,-76.196117,43.00653,SUNY Environmental Science 
University or College,36067,suny upstate medical university police,0,0,0,0,6,74,0,80,-76.196117,43.00653,SUNY Upstate Medical
University or College,36075,oswego state university police,0,12,1,12,2,38,0,40,-76.209258,43.461443,SUNY Oswego
University or College,36077,state university college at oneonta police,0,0,0,0,0,18,0,18,-75.028841,42.629776,SUNY Oneonta
University or College,36089,suny canton police,0,0,0,0,0,7,0,7,-75.074311,44.488112,SUNY Canton
University or College,36089,state university college at potsdam police,0,0,0,0,1,25,0,26,-75.074311,44.488112,SUNY Potsdam
University or College,36095,suny college of agriculture & technology at cobles,0,0,0,0,1,6,0,7,-74.438172,42.591294,SUNY Cobleskill
University or College,36103,farmingdale state college police,0,11,1,11,0,6,0,6,-72.692218,40.943554,SUNY Farmingdale
University or College,36103,state university at stony brook police,0,11,1,8,11,81,0,92,-72.692218,40.943554,SUNY Stony Brook
University or College,,cornell university,0,11,1,12,,,,,,,
University or College,,ithaca college,0,0,0,0,,,,,,,
University or College,36111,state university college at new paltz police,0,12,1,12,1,20,0,21,-74.265458,41.947216,SUNY New Paltz
University or College,36119,purchase college police,0,0,0,0,0,11,0,11,-73.745912,41.15277,SUNY Purchase
University or College,36005,state university of new york maritime college poli,0,0,0,0,0,11,0,11,-73.852939,40.848711,SUNY Maritime 
