agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info,County
City,36057,saint johnsville village police department,1668,0,0,0,1,15,0,16,-74.6781003,43.0012346,,Montgomery
County,36059,nassau county police department,1053945,0,0,0,1304,8610,14,9914,-73.5594128,40.6546145,,Nassau
City,36059,glen cove police department,27186,0,0,0,3,108,0,111,-73.6315221,40.863201,,Nassau
City,36059,long beach police department,33461,0,0,0,13,46,0,59,-73.666382,40.589559,,Nassau
City,36059,floral park village police department,15844,0,0,0,10,61,0,71,-73.7048532,40.7237133,,Nassau
City,36059,freeport village police department,42962,0,1,7,73,263,1,336,-73.5831835,40.6576022,,Nassau
City,36059,garden city village police department,22465,0,0,0,5,243,0,248,-73.6342954,40.7267682,,Nassau
City,36059,hempstead village police department,55230,12,1,12,357,571,8,928,-73.6229361,40.7103658,,Nassau
City,36059,lynbrook village police department,19441,0,0,0,15,115,0,130,-73.6717969,40.6548253,,Nassau
City,36059,rockville centre police department,24604,0,0,0,14,106,0,120,-73.6433192,40.6586305,,Nassau
City,36059,great neck estates village police department,2892,0,0,0,1,8,0,9,-73.7367983,40.7870459,,Nassau
City,36059,sands point village police department,2919,0,0,0,1,12,0,13,-73.718742,40.8517669,,Nassau
City,36059,malverne village police department,8482,0,0,0,0,16,0,16,-73.6740191,40.6789916,,Nassau
City,36059,kensington village police department,1193,0,0,0,0,0,0,0,-73.73024,40.7907,,Nassau
City,36059,old westbury village police department,4603,12,1,12,1,21,0,22,-73.5995717,40.7887113,,Nassau
City,36059,kings point village police department,5315,0,0,0,0,12,0,12,-73.7351316,40.8198231,,Nassau
City,36059,centre island village police department,409,0,0,0,0,1,0,1,-73.5198453,40.9017651,,Nassau
City,36059,port washington police district,19391,0,0,0,8,115,0,123,-73.6981858,40.8256561,,Nassau
City,36059,lake success village police department,3161,0,0,0,0,14,0,14,-73.7090428,40.7698453,,Nassau
City,36059,old brookville village police department,2196,0,0,0,1,47,0,48,-73.6048493,40.8320441,,Nassau
City,36059,oyster bay cove village police department,4300,0,0,0,0,17,0,17,-73.5109566,40.8709319,,Nassau
University or College,36059,us merchant marine academy kings point,0,0,0,0,0,0,0,0,-73.7625503,40.8129628,,Nassau
City,36061,new york city police department,8300377,0,0,0,47959,129361,468,177320,-74.0059728,40.7127753,,-
Other State Agency,36061,nys park police new york city region,0,0,0,0,0,0,0,0,-74.0059728,40.7127753,,-
Other,36061,metro north rr pd metro transit auth new york,0,0,0,0,0,0,0,0,-74.0059728,40.7127753,,Niagara
County,36063,niagara county sheriff's office,79559,12,1,12,28,542,0,570,-78.7476208,43.3119496,,Niagara
City,36063,lockport police department,20212,0,0,0,116,491,0,607,-78.6956544,43.1695835,,Niagara
City,36063,niagara falls police department,47474,12,1,12,369,1951,9,2320,-79.0525793,43.1061727,,Niagara
City,36063,north tonawanda police department,30104,12,1,12,37,331,0,368,-78.8699787,43.029534,,Niagara
City,36063,middleport village police department,1733,0,0,0,1,11,0,12,-78.4764143,43.2125581,,Niagara
City,36063,youngstown vlg police dept,1871,12,1,6,0,1,0,1,-79.04677569,43.25075266,,Niagara
City,36063,barker village police department,504,0,0,0,,,,,-78.549813,43.329937,,Niagara
City,36063,lewiston town police department,15671,6,1,11,4,87,0,91,-79.01717,43.218047,,Niagara
City,36063,niagara town police department,8012,9,1,12,1,196,0,197,-79.061,43.0923,,Niagara
City,36063,somerset town pd barker,2032,6,1,6,,,,,-78.550099,43.337006,,Niagara
Other State Agency,36063,nys park police niagara region,0,0,0,0,0,0,0,0,-74.2179326,43.2994285,,Niagara
City,36065,rome police department,31978,12,1,12,65,570,0,635,-75.4553,43.2134,,Oneida
City,36065,utica police department,59483,12,1,12,298,2023,1,2321,-75.233549,43.1041147,,Oneida
City,36065,boonville village police department,1974,0,0,0,0,20,0,20,-75.316025,43.475453,,Oneida
City,36065,camden village police department,2151,0,0,0,0,22,0,22,-75.752284,43.341013,,Oneida
City,36065,sherrill police department,2964,0,1,12,0,18,0,18,-75.5994344,43.0722949,,Oneida
City,36065,vernon village police department,1142,0,0,0,3,3,0,6,-75.53825,43.07763,,Oneida
City,36065,whitesboro village police department,3595,0,0,0,0,0,0,0,-75.2948584,43.1237769,,Oneida
City,36065,yorkville village police department,2556,0,0,0,0,0,0,0,-75.2778874,43.1127507,,Oneida
City,36065,oriskany vlg police dept,1321,0,0,0,0,7,0,7,-75.3326692,43.1572918,,Oneida
City,36065,new york mills village police department,3200,0,0,0,2,44,0,46,-75.292136,43.103516,,Oneida
City,36065,new hartford town police department,20173,12,1,12,18,467,0,485,-75.2876661,43.073403,,Oneida
City,36065,whitestown town police department,8948,0,0,0,0,20,0,20,-75.3231,43.10752,,Oneida
City,36065,kirkland town police department,8323,0,0,0,0,0,0,0,-75.376903,43.0914401,,Oneida
County,36067,onondaga county sheriff's office,174528,0,0,0,219,1689,1,1908,-76.147175,43.047802,,Onondaga
City,36067,syracuse police department,142011,0,0,0,1192,4057,32,5249,-76.1474244,43.0481221,,Onondaga
City,36067,jordan village police department,1294,0,0,0,0,3,0,3,-76.472211,43.065564,,Onondaga
City,36067,solvay village police department,6196,0,0,0,14,66,0,80,-76.2074263,43.0581222,,Onondaga
City,36067,baldwinsville village police department,7895,0,0,0,4,51,0,55,-76.3327095,43.1586786,,Onondaga
City,36067,manlius town police department,24139,0,0,0,15,261,0,276,-75.9768632,43.0020107,,Onondaga
City,36067,marcellus vlg police dept,1707,0,0,0,0,7,0,7,-76.341465,42.982581,,Onondaga
City,36067,liverpool village police department,2191,0,0,0,0,10,0,10,-76.20921,43.10419,,Onondaga
City,36067,skaneateles village police department,2466,0,0,0,0,21,0,21,-76.4291017,42.947011,,Onondaga
City,36067,north syracuse village police department,6607,0,0,0,15,109,0,124,-76.1299238,43.1347897,,Onondaga
City,36067,camillus town and village police department,24098,0,0,0,13,266,0,279,-76.3040965,43.039233,,Onondaga
City,36067,cicero town police department,28755,0,0,0,14,291,0,305,-76.1158173,43.1693611,,Onondaga
City,36067,dewitt town police department,24947,0,0,0,46,725,0,771,-76.04938,43.046627,,Onondaga
City,36067,geddes town police department,10002,0,0,0,6,176,0,182,-76.211796,43.060488,,Onondaga
Other State Agency,36067,nys park police central region,0,0,0,0,0,0,0,0,-74.2179326,43.2994285,,-
County,36069,ontario county sheriff's office,81092,0,0,0,58,708,1,766,-77.2864879,42.8509838,,Ontario
City,36069,geneva police department,12569,0,0,0,38,173,0,211,-76.9791,42.871,,Ontario
City,36069,clifton springs village police department,1993,0,0,0,0,0,0,0,-77.1399756,42.9617304,,Ontario
City,36069,manchester vlg police dept,1603,0,0,0,0,0,0,0,-77.220691,42.955914,,Ontario
City,36069,phelps vlg police dept,1889,0,0,0,0,0,0,0,-77.060927,42.960084,,Ontario
City,36069,canandaigua police department,10112,0,0,0,37,220,1,257,-77.2816984,42.887535,,Ontario
County,36071,orange county sheriff's office,63383,0,0,0,2,15,0,17,-74.3602,41.4046,,Orange
City,36071,middletown police department,28194,12,1,12,90,385,1,475,-74.4218,41.4454,,Orange
City,36071,newburgh city police department,28095,0,0,0,285,724,4,1009,-74.0104178,41.5034271,,Orange
City,36071,washingtonville village police department,5755,0,0,0,2,30,0,32,-74.1659798,41.4278716,,Orange
City,36071,chester village police department,4108,0,1,12,2,13,0,15,-74.27236,41.36195,,Orange
City,36071,cornwall-on-hudson village police department,2911,0,0,0,0,21,0,21,-74.0156961,41.444816,,Orange
City,36071,goshen village police department,5361,0,0,0,2,21,0,23,-74.3267848,41.4022074,,Orange
City,36071,highland falls village police department,3822,0,0,0,0,11,0,11,-73.9662504,41.3692605,,Orange
City,36071,monroe village police department,8609,0,0,0,3,97,0,100,-74.1869,41.3277,,Orange
City,36071,montgomery vlg police dept,4617,0,0,0,0,6,0,6,-74.2412637,41.5250832,,Orange
City,36071,walden village police department,6666,12,1,12,1,26,0,27,-74.189718,41.559695,,Orange
City,36071,maybrook village police department,3773,6,1,12,0,5,0,5,-74.20956,41.49063,,Orange
City,36071,greenwood lake village police department,3080,0,1,11,3,19,0,22,-74.294317,41.2225942,,Orange
City,36071,florida village police department,2931,0,0,0,0,2,0,2,-74.35505,41.33074,,Orange
City,36071,port jervis police department,8526,12,1,12,22,117,0,139,-74.6910433,41.3750809,,Orange
City,36071,tuxedo park village police department,598,0,0,0,0,0,0,0,-74.2003231,41.2041676,,Orange
City,36071,harriman village police department,2455,0,0,0,1,17,0,18,-74.1445899,41.308427,,Orange
City,36071,mount hope town police department,6625,0,0,0,3,14,0,17,-74.528861,41.47827,,Orange
City,36071,cornwall town police department,9538,0,0,0,2,4,0,6,-74.021522,41.4436157,,Orange
City,36071,highlands town police dept,8329,0,0,0,0,0,0,0,-73.9728684,41.3556365,,Orange
City,36071,newburgh town police department,31691,0,0,0,46,766,4,812,-74.06340368,41.5317401,,Orange
City,36071,tuxedo town police department,2969,0,0,0,0,0,0,0,-74.1730985,41.2475944,,Orange
City,36071,new windsor town police department,27980,0,0,0,20,299,0,319,-74.0628287,41.4818799,,Orange
City,36071,woodbury town police department,11133,0,0,0,6,180,0,186,-74.1059775,41.3645382,,Orange
City,36071,warwick town police department,18459,0,0,0,9,72,0,81,-74.3367079,41.2695742,,Orange
City,36071,deerpark town police department,7732,12,1,12,4,39,0,43,-74.663464,41.4591459,,Orange
City,36071,blooming grove town police department,11822,0,0,0,5,105,0,110,-74.1916,41.40705,,Orange
City,36071,montgomery town police department,9222,0,0,0,0,8,0,8,-74.1992263,41.522293,,Orange
City,36071,crawford town police department,9210,0,0,0,2,21,0,23,-74.377064,41.621893,,Orange
City,36071,chester town police department,8095,0,0,0,0,7,0,7,-74.275081,41.339698,,Orange
City,36071,wallkill town police department,29159,0,0,0,49,630,0,679,-74.3750022,41.4670444,,Orange
City,36071,goshen town police department,8938,12,1,12,1,18,0,19,-74.3525148,41.3960657,,Orange
County,36073,orleans county sheriff's office,26849,0,0,0,12,84,0,96,-78.2222623,43.2391071,,Orleans
City,36073,albion village police department,5698,0,0,0,24,147,0,171,-78.1923194,43.2480994,,Orleans
City,36073,holley village police department,1669,0,0,0,1,9,0,10,-78.0266826,43.2264486,,Orleans
City,36073,medina village police department,5613,0,0,0,14,80,0,94,-78.387183,43.218936,,Orleans
County,36075,oswego county sheriff's office,81507,12,1,12,35,260,0,295,-76.4800092,43.4314795,,Oswego
City,36075,fulton police department,11017,0,0,0,9,258,0,267,-76.4151,43.321,,Oswego
City,36075,oswego police department,17138,12,1,12,41,453,0,494,-76.511238,43.454709,,Oswego
City,36075,central square vlg police dept,1740,0,0,0,0,40,0,40,-76.1370809,43.2845658,,Oswego
City,36075,pulaski village police department,2211,0,0,0,0,29,0,29,-76.125797,43.570383,,Oswego
City,36075,phoenix vlg police dept,2226,0,0,0,3,7,0,10,-76.299044,43.229298,,Oswego
County,36077,otsego county sheriff's office,43171,0,1,8,7,15,0,22,-75.0611147,42.5779779,,Otsego
City,36077,oneonta police department,13904,11,1,12,19,175,0,194,-75.0637217,42.4510248,,Otsego
City,36077,cooperstown village police department,1743,0,0,0,0,1,0,1,-74.924321,42.7006303,,Otsego
County,36079,putnam county sheriff's office,46063,0,0,0,12,117,0,129,-73.6765,41.4252,,Putnam
City,36079,cold spring vlg police dept,1940,0,0,0,0,12,0,12,-73.954583,41.4200937,,Putnam
City,36079,brewster village pd brewster,2329,0,0,0,2,9,0,11,-73.607069,41.395566,,Putnam
City,36079,carmel town police department,34093,10,1,12,5,113,0,118,-73.7236408,41.3774592,,Putnam
City,36079,kent town police department,13123,0,0,0,1,38,0,39,-73.6708308,41.4784354,,Putnam
County,36083,rensselaer county sheriff's office,54944,0,0,0,20,147,0,167,-73.7005691,42.709114,,Rensselaer
City,36083,rensselaer police dept,9149,0,0,0,19,83,0,102,-73.742898,42.6425794,,Rensselaer
City,36083,troy police department,49052,0,0,0,330,1439,9,1769,-73.687,42.73,,Rensselaer
City,36083,hoosick falls village police department,3331,0,0,0,2,14,0,16,-73.3515001,42.9011892,,Rensselaer
City,36083,nassau village police department,1094,0,0,0,1,5,0,6,-73.609291,42.512088,,Rensselaer
City,36083,east greenbush town police department,16186,0,0,0,15,530,0,545,-73.7017858,42.5909135,,Rensselaer
City,36083,north greenbush town police department,12264,0,0,0,12,179,0,191,-73.6771662,42.6718547,,Rensselaer
City,36083,schodack town police department,11617,0,0,0,6,47,0,53,-73.6771662,42.5191196,,Rensselaer
County,36087,rockland county sheriff's office,10682,11,1,1,0,0,0,0,-73.9945993,41.1472342,,Rockland
City,36087,piermont village police department,2533,8,1,9,0,4,0,4,-73.918192,41.0420414,,Rockland
City,36087,south nyack - grand view village police department,3294,11,0,0,1,15,0,16,-73.9217288,41.0835837,,Rockland
City,36087,spring valley village police department,32356,12,1,12,96,344,2,440,-74.0405979,41.1216407,,Rockland
City,36087,suffern village police department,11037,0,1,10,2,47,0,49,-74.1495889,41.1148179,,Rockland
City,36087,clarkstown town police department,80462,12,1,12,44,875,0,919,-73.959494,41.1259715,,Rockland
City,36087,haverstraw town police department,37034,0,1,8,29,225,2,254,-73.9645837,41.1975947,,Rockland
City,36087,orangetown town police department,37320,12,1,10,15,289,1,304,-73.9477384,41.0555461,,Rockland
City,36087,ramapo town police department,95165,0,0,0,73,485,0,558,-74.1684787,41.1412064,,Rockland
City,36087,stony point town police department,15338,12,1,12,3,45,0,48,-73.9870847,41.2295386,,Rockland
Other State Agency,36087,nys park police palisades region,0,0,0,0,0,0,0,0,-74.2179326,43.2994285,,-
County,36089,st. lawrence county sheriff's office,61104,12,1,12,8,20,0,28,-74.930206,44.4473142,,St. Lawrence
City,36089,ogdensburg police department,10364,12,1,12,22,131,0,153,-75.475097,44.6973219,,St. Lawrence
City,36089,massena village police department,10123,11,1,11,7,90,0,97,-74.891865,44.9281049,,St. Lawrence
City,36089,canton village police department,6516,4,1,12,0,13,0,13,-75.17083883,44.595036,,St. Lawrence
City,36089,gouverneur village police department,3637,12,1,12,0,0,0,0,-75.462993,44.3367281,,St. Lawrence
City,36089,norwood vlg police dept,1549,0,0,0,3,15,0,18,-74.99672,44.74968,,St. Lawrence
City,36089,potsdam village police department,8943,8,1,9,2,45,0,47,-74.9829816,44.6694123,,St. Lawrence
City,36089,norfolk town police dept,4380,0,0,0,1,1,0,2,-74.98689,44.79917,,St. Lawrence
County,36091,saratoga county sheriff's office,171244,12,1,12,66,890,0,956,-73.8736274,43.0201976,,Saratoga
City,36091,saratoga springs police department,28397,0,0,0,53,453,1,506,-73.784045,43.0832466,,Saratoga
City,36091,ballston spa village police department,5204,0,0,0,0,39,0,39,-73.8490111,43.0009086,,Saratoga
City,36091,mechanicville police department,5018,0,0,0,13,41,0,54,-73.685286,42.9036899,,Saratoga
City,36091,south glens falls village police department,3647,0,0,0,5,28,0,33,-73.6351168,43.2992389,,Saratoga
Other State Agency,36091,nys park police saratoga/capital region,0,0,0,0,0,0,0,0,-73.7485195,42.669682,,Saratoga
City,36091,waterford town police department,8466,0,0,0,3,17,0,20,-73.678697,42.790465,,Saratoga
City,36091,galway vlg police dept,190,0,0,0,,,,,-74.055834,43.027298,,Cattaraugus
City,36091,stillwater town police dept,7340,0,0,0,1,14,0,15,-73.6531731,42.9384101,,Saratoga
City,36093,schenectady police department,7446,0,1,12,468,1652,5,2120,-73.9369093,42.8145774,,Schenectady
County,36093,schenectady county sheriff's office,65176,12,1,12,4,10,0,14,-73.9399962,42.8099415,,Schenectady
City,36093,scotia village police department,7631,0,0,0,7,146,0,153,-73.9638118,42.8268917,,Schenectady
City,36093,glenville town police department,21609,0,0,0,12,313,0,325,-74.0520717,42.9292419,,Schenectady
City,36093,niskayuna town police department,22428,0,0,0,18,422,0,440,-73.8914407,42.8000049,,Schenectady
City,36093,rotterdam town police department,30071,0,1,12,35,715,0,750,-73.9709583,42.7870209,,Schenectady
County,36095,schoharie county sheriff's office,25492,0,1,12,4,37,0,41,-74.3718947,42.6889725,,Schoharie
City,36095,cobleskill village police department,4323,0,0,0,19,126,0,145,-74.4854172,42.677853,,Schoharie
City,36095,schoharie village pd schoharie,806,0,0,0,0,4,0,4,-74.3112254,42.6642037,,Schoharie
County,36097,schuyler county sheriff's office,15763,0,0,0,6,10,0,16,-76.8705473,42.3766269,,Schuyler
City,36097,watkins glen village police department,1874,0,0,0,0,7,0,7,-76.8732921,42.3806287,,Schuyler
County,36099,seneca county sheriff's office,19652,12,1,11,7,81,0,88,-76.8283,42.7197,,Seneca
City,36099,seneca falls town,8573,12,1,12,15,163,0,178,-76.7966215,42.9106219,,Seneca
City,36099,interlaken vlg police dept,598,0,0,0,0,0,0,0,-76.724572,42.618671,,Seneca
City,36099,waterloo vlg police dept,4842,12,1,11,10,35,1,45,-76.8650293,42.9043882,,Seneca
County,36101,steuben county sheriff's office,58880,0,1,9,10,76,0,86,-77.2953209,42.3495372,,Steuben
City,36101,corning police department,10469,0,0,0,33,274,1,307,-77.04733,42.14159,,Steuben
City,36101,hornell police department,8272,0,0,0,0,0,0,0,-77.6611025,42.3278477,,Steuben
City,36101,addison village police department,2458,0,0,0,6,7,0,13,-77.23757,42.103628,,Steuben
City,36101,bath village police department,5438,0,0,0,2,44,0,46,-77.317328,42.3357929,,Steuben
City,36101,canisteo vlg police dept,2120,0,0,0,1,4,0,5,-77.6058225,42.2703487,,Steuben
City,36101,cohocton town police dept,2435,0,0,0,0,3,0,3,-77.5072102,42.5022907,,Steuben
City,36101,painted post village police department,1939,0,0,0,1,2,0,3,-77.0941366,42.1620186,,Steuben
City,36101,hammondsport village police department,618,0,0,0,0,16,0,16,-77.2235873,42.4078495,,Steuben
City,36101,wayland village police department,1753,0,0,0,0,3,0,3,-77.591761,42.568122,,Steuben
County,36103,suffolk county sheriff's office,0,0,0,0,18,0,0,18,-72.6151169,40.9848784,,Suffolk
County,36103,suffolk county police department,1303112,0,0,0,1118,14966,30,16084,-72.6151169,40.9848784,,Suffolk
City,36103,amityville village police department,9387,0,0,0,5,61,2,66,-73.4170673,40.6789893,,Suffolk
City,36103,sag harbor village police department,2296,0,0,0,0,0,0,0,-72.2925819,40.9978773,,Suffolk
City,36103,northport village police department,7258,0,0,0,0,2,0,2,-73.3474691,40.9005559,,Suffolk
City,36103,southampton village police department,3330,0,0,0,0,45,0,45,-72.393649,40.887693,,Suffolk
City,36103,east hampton village police department,1140,0,0,0,1,23,0,24,-72.18281,40.969376,,Suffolk
City,36103,ocean beach village police dept,83,0,0,0,0,9,0,9,-73.1566,40.6492,,Suffolk
City,36103,huntington bay village police department,1436,0,0,0,0,7,0,7,-73.4148418,40.8998203,,Suffolk
City,36103,lloyd harbor village police department,3655,0,0,0,2,12,0,14,-73.4598432,40.9034315,,Suffolk
City,36103,quogue village police department,1019,0,0,0,1,31,0,32,-72.6090335,40.8180969,,Suffolk
City,36103,westhampton beach village police department,1806,0,0,0,0,24,0,24,-72.6458277,40.8093799,,Suffolk
City,36103,nissequogue village police department,1730,0,0,0,0,10,0,10,-73.1978899,40.9039869,,Suffolk
City,36103,asharoken village police department,644,0,0,0,0,1,0,1,-73.3598395,40.9278757,,Suffolk
