Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Newark Vg PD,12.0,City,8784,0,0,newark village police department,31.0,294.0,0.0,325.0,-77.063164,43.458758,Wayne,12.0,19.0
Wolcott Vg PD,,City,1604,0,0,wolcott village police department,0.0,0.0,0.0,0.0,-77.063164,43.458758,Wayne,8.470588235294118,17.0
Clyde Vg PD,12.0,City,1948,0,0,clyde village police department,5.0,34.0,0.0,39.0,-77.063164,43.458758,Wayne,12.0,19.0
Palmyra Vg PD,12.0,City,3299,0,0,palmyra village police department,0.0,10.0,0.0,10.0,-77.063164,43.458758,Wayne,12.0,19.0
Sodus Vg PD,,City,1696,0,0,sodus village police department,0.0,0.0,0.0,0.0,-77.063164,43.458758,Wayne,11.88888888888889,18.0
Sodus Point Vg PD,,City,854,0,0,sodus point village police department,0.0,0.0,0.0,0.0,-77.063164,43.458758,Wayne,12.0,14.0
Macedon Town and Vg PD,12.0,City,8856,0,0,macedon town police department,9.0,88.0,0.0,97.0,-77.063164,43.458758,Wayne,12.0,19.0
Westchester Co Dept Pub Safety,12.0,County,69019,0,0,westchester county department of public safety,15.0,154.0,0.0,169.0,-73.745912,41.15277,Westchester,12.0,19.0
Peekskill City PD,12.0,City,24371,0,0,peekskill police department,33.0,177.0,3.0,210.0,-73.745912,41.15277,Westchester,12.0,19.0
White Plains City PD,12.0,City,58240,0,0,white plains police department,72.0,961.0,2.0,1033.0,-73.745912,41.15277,Westchester,12.0,19.0
Mount Vernon City PD,12.0,City,67339,0,0,mount vernon police department,382.0,894.0,7.0,1276.0,-73.745912,41.15277,Westchester,12.0,19.0
New Rochelle City PD,12.0,City,78707,12,11,new rochelle police department,20.0,263.0,0.0,283.0,-73.745912,41.15277,Westchester,12.0,19.0
Ossining Vg PD,12.0,City,24786,0,0,ossining village police department,17.0,197.0,0.0,214.0,-73.745912,41.15277,Westchester,12.0,19.0
Port Chester Vg PD,12.0,City,29181,0,0,port chester village police department,22.0,212.0,0.0,234.0,-73.745912,41.15277,Westchester,12.0,19.0
Yonkers City PD,12.0,City,200816,11,11,yonkers police department,653.0,2002.0,7.0,2655.0,-73.745912,41.15277,Westchester,12.0,19.0
Rye City PD,12.0,City,15692,0,0,rye police department,0.0,20.0,0.0,20.0,-73.745912,41.15277,Westchester,12.0,19.0
Mamaroneck Vg PD,12.0,City,19154,0,0,mamaroneck village police department,20.0,182.0,0.0,202.0,-73.745912,41.15277,Westchester,12.0,19.0
Scarsdale Vg PD,12.0,City,17953,12,3,scarsdale village police department,3.0,123.0,0.0,126.0,-73.745912,41.15277,Westchester,12.0,19.0
Croton-On-Hudson Vg PD,12.0,City,8097,0,0,croton-on-hudson village police department,2.0,40.0,0.0,42.0,-73.745912,41.15277,Westchester,12.0,19.0
Bronxville Vg PD,10.0,City,6422,0,0,bronxville village police department,1.0,22.0,0.0,23.0,-73.745912,41.15277,Westchester,12.0,19.0
Tuckahoe Vg PD,12.0,City,6554,0,0,tuckahoe village police department,2.0,21.0,0.0,23.0,-73.745912,41.15277,Westchester,12.0,19.0
Ardsley Vg PD,11.0,City,4515,0,0,ardsley village police department,2.0,28.0,0.0,30.0,-73.745912,41.15277,Westchester,11.894736842105264,19.0
Dobbs Ferry Vg PD,12.0,City,11037,0,0,dobbs ferry village police department,2.0,96.0,0.0,98.0,-73.745912,41.15277,Westchester,11.947368421052632,19.0
Hastings-on-Hudson Vg PD,12.0,City,7853,0,0,hastings village police department,2.0,94.0,0.0,96.0,-73.745912,41.15277,Westchester,11.947368421052632,19.0
Irvington Vg PD,12.0,City,6478,0,0,irvington village police department,2.0,29.0,0.0,31.0,-73.745912,41.15277,Westchester,12.0,19.0
Tarrytown Vg PD,12.0,City,11383,12,12,tarrytown village police department,9.0,56.0,0.0,65.0,-73.745912,41.15277,Westchester,12.0,19.0
Larchmont Vg PD,12.0,City,6112,0,0,larchmont village police department,4.0,82.0,0.0,86.0,-73.745912,41.15277,Westchester,12.0,19.0
Briarcliff Manor Vg PD,4.0,City,8126,0,0,briarcliff manor village police department,2.0,34.0,0.0,36.0,-73.745912,41.15277,Westchester,12.0,19.0
Sleepy Hollow Vg PD,12.0,City,10064,0,0,sleepy hollow village police department,0.0,27.0,0.0,27.0,-73.745912,41.15277,Westchester,11.944444444444445,18.0
Pleasantville Vg PD,12.0,City,7280,0,0,pleasantville village police department,4.0,55.0,0.0,59.0,-73.745912,41.15277,Westchester,12.0,16.0
Pelham Vg PD,12.0,City,6956,0,0,pelham village police department,1.0,57.0,0.0,58.0,-73.745912,41.15277,Westchester,12.0,19.0
Pelham Manor Vg PD,12.0,City,5535,0,0,pelham manor village police department,1.0,134.0,0.0,135.0,-73.745912,41.15277,Westchester,12.0,19.0
Elmsford Vg PD,12.0,City,5279,0,0,elmsford village police department,1.0,11.0,0.0,12.0,-73.745912,41.15277,Westchester,11.947368421052632,19.0
Buchanan Vg PD,12.0,City,2233,0,0,buchanan village police department,0.0,12.0,0.0,12.0,-73.745912,41.15277,Westchester,11.333333333333334,18.0
Bedford Town PD,12.0,City,17672,12,12,bedford police department,2.0,42.0,0.0,44.0,-73.745912,41.15277,Westchester,12.0,19.0
Eastchester Town PD,12.0,City,19991,0,0,eastchester town police department,1.0,136.0,0.0,137.0,-73.745912,41.15277,Westchester,12.0,19.0
Greenburgh Town PD,12.0,City,44727,12,12,greenburgh town police department,25.0,437.0,0.0,462.0,-73.745912,41.15277,Westchester,12.0,19.0
Harrison Town PD,12.0,City,29110,0,0,harrison town police department,6.0,126.0,0.0,132.0,-73.745912,41.15277,Westchester,12.0,19.0
Lewisboro Town PD,,City,12533,0,0,lewisboro town police department,0.0,0.0,0.0,0.0,-73.745912,41.15277,Westchester,12.0,16.0
Mamaroneck Town PD,12.0,City,12017,0,0,mamaroneck town police department,0.0,54.0,0.0,54.0,-73.745912,41.15277,Westchester,12.0,19.0
Mount Pleasant Town PD,12.0,City,26966,0,0,mount pleasant town police department,12.0,140.0,0.0,152.0,-73.745912,41.15277,Westchester,11.789473684210526,19.0
New Castle Town PD,12.0,City,17824,0,0,new castle town police department,0.0,77.0,0.0,77.0,-73.745912,41.15277,Westchester,12.0,19.0
North Castle Town PD,12.0,City,12266,0,0,north castle town police department,1.0,88.0,0.0,89.0,-73.745912,41.15277,Westchester,12.0,19.0
Pound Ridge Town PD,12.0,City,5133,0,0,pound ridge town police department,1.0,40.0,0.0,41.0,-73.745912,41.15277,Westchester,12.0,19.0
Yorktown Town PD,12.0,City,36284,12,12,yorktown town police department,7.0,198.0,0.0,205.0,-73.745912,41.15277,Westchester,12.0,19.0
Rye Brook Vg PD,12.0,City,9542,0,0,rye brook village police department,0.0,76.0,0.0,76.0,-73.745912,41.15277,Westchester,11.947368421052632,19.0
Wyoming County Sheriff,12.0,County,28481,11,12,wyoming county sheriff's office,20.0,128.0,0.0,148.0,-78.228567,42.701363,Wyoming,12.0,19.0
Arcade Vg PD,12.0,City,1919,7,11,arcade village police department,3.0,14.0,0.0,17.0,-78.228567,42.701363,Wyoming,12.0,19.0
Attica Vg PD,12.0,City,2389,0,0,attica village police department,0.0,14.0,0.0,14.0,-78.228567,42.701363,Wyoming,12.0,19.0
Perry Vg PD,12.0,City,3471,0,0,perry village police department,3.0,49.0,0.0,52.0,-78.228567,42.701363,Wyoming,12.0,19.0
Warsaw Vg PD,12.0,City,3225,0,0,warsaw village police department,6.0,31.0,0.0,37.0,-78.228567,42.701363,Wyoming,12.0,19.0
nan,,Other State Agency,0,0,0,nys park police genesee region,0.0,0.0,0.0,0.0,-78.228567,42.701363,,,
Yates County Sheriff,12.0,County,19804,11,12,yates county sheriff's office,10.0,123.0,1.0,133.0,-77.104324,42.638237,Yates,12.0,19.0
Penn Yan Vg PD,12.0,City,4900,0,0,penn yan police department,3.0,59.0,0.0,62.0,-77.104324,42.638237,Yates,12.0,19.0
Albany County State Police,12.0,State Police,0,0,0,sp: albany county,26.0,79.0,0.0,105.0,-73.974015,42.588272,Albany,12.0,19.0
Allegany County State Police,12.0,State Police,0,0,0,sp: allegany county,56.0,215.0,2.0,271.0,-78.026115,42.247871,Allegany,12.0,19.0
Broome County State Police,12.0,State Police,0,0,0,sp: broome county,74.0,389.0,1.0,463.0,-75.830283,42.161977,Broome,12.0,19.0
Cattaraugus County State Police,12.0,State Police,0,0,0,sp: cattaraugus county,39.0,200.0,0.0,239.0,-78.662421,42.239169,Cattaraugus,12.0,19.0
Cayuga County State Police,12.0,State Police,0,0,0,sp: cayuga county,55.0,193.0,0.0,248.0,-76.574587,43.008546,Cayuga,12.0,19.0
Chautauqua County State Police,12.0,State Police,0,0,0,sp: chautauqua county,32.0,126.0,0.0,158.0,-79.407595,42.304216,Chautauqua,12.0,19.0
Chemung County State Police,12.0,State Police,0,0,0,sp: chemung county,89.0,165.0,1.0,254.0,-76.747179,42.15528,Chemung,12.0,19.0
Chenango County State Police,12.0,State Police,0,0,0,sp: chenango county,56.0,154.0,0.0,210.0,-75.604905,42.489732,Chenango,12.0,19.0
Clinton County State Police,12.0,State Police,0,0,0,sp: clinton county,94.0,740.0,1.0,834.0,-73.705643,44.752712,Clinton,12.0,19.0
Columbia County State Police,12.0,State Police,0,0,0,sp: columbia county,37.0,161.0,0.0,198.0,-73.626803,42.247728,Columbia,12.0,19.0
Cortland County State Police,12.0,State Police,0,0,0,sp: cortland county,23.0,83.0,0.0,106.0,-76.07624,42.594039,Cortland,12.0,19.0
Delaware County State Police,12.0,State Police,0,0,0,sp: delaware county,28.0,135.0,0.0,163.0,-74.966728,42.193986,Delaware,12.0,19.0
Dutchess County State Police,12.0,State Police,0,0,0,sp: dutchess county,155.0,451.0,1.0,606.0,-73.739951,41.75501,Dutchess,12.0,19.0
Erie County State Police,12.0,State Police,0,0,0,sp: erie county,38.0,288.0,0.0,326.0,-78.778192,42.752759,Erie,12.0,19.0
Essex County State Police,12.0,State Police,0,0,0,sp: essex county,44.0,206.0,0.0,250.0,-73.777573,44.108971,Essex,12.0,19.0
Franklin County State Police,12.0,State Police,0,0,0,sp: franklin county,42.0,330.0,0.0,372.0,-74.31067,44.594376,Franklin,12.0,19.0
Fulton County State Police,12.0,State Police,0,0,0,sp: fulton county,11.0,70.0,0.0,81.0,-74.423678,43.115609,Fulton,12.0,19.0
Genesee County State Police,12.0,State Police,0,0,0,sp: genesee county,8.0,91.0,0.0,99.0,-78.192778,43.00091,Genesee,12.0,19.0
Greene County State Police,12.0,State Police,0,0,0,sp: greene county,172.0,198.0,0.0,370.0,-74.149554,42.286964,Greene,12.0,19.0
Hamilton County State Police,12.0,State Police,0,0,0,sp: hamilton county,6.0,25.0,0.0,31.0,-74.502456,43.657879,Hamilton,12.0,19.0
Herkimer County State Police,12.0,State Police,0,0,0,sp: herkimer county,44.0,174.0,0.0,218.0,-74.841097,43.571009,Herkimer,12.0,19.0
Jefferson County State Police,12.0,State Police,0,0,0,sp: jefferson county,75.0,517.0,0.0,592.0,-76.053514,43.995371,Jefferson,12.0,19.0
Lewis County State Police,12.0,State Police,0,0,0,sp: lewis county,16.0,75.0,0.0,91.0,-75.44414,43.782681,Lewis,12.0,19.0
Livingston County State Police,12.0,State Police,0,0,0,sp: livingston county,16.0,32.0,0.0,48.0,-77.769779,42.727485,Livingston,12.0,19.0
Madison County State Police,12.0,State Police,0,0,0,sp: madison county,32.0,133.0,0.0,165.0,-75.663575,42.910026,Madison,12.0,19.0
Monroe County State Police,12.0,State Police,0,0,0,sp: monroe county,45.0,49.0,0.0,94.0,-77.664656,43.464475,Monroe,12.0,19.0
Montgomery County State Police,12.0,State Police,0,0,0,sp: montgomery cnty,14.0,92.0,1.0,106.0,-74.435357,42.900891,Montgomery,12.0,19.0
Nassau County State Police,12.0,State Police,0,0,0,sp: nassau county,9.0,10.0,0.0,19.0,-73.589419,40.729612,Nassau,12.0,19.0
nan,,State Police,0,0,0,sp: new york county,9.0,16.0,0.0,25.0,-73.970174,40.776557,,,
Niagara County State Police,12.0,State Police,0,0,0,sp: niagara county,38.0,214.0,1.0,252.0,-78.792142,43.456731,Niagara,12.0,19.0
Oneida County State Police,12.0,State Police,0,0,0,sp: oneida county,88.0,358.0,1.0,446.0,-75.434282,43.242727,Oneida,12.0,19.0
Onondaga County State Police,12.0,State Police,0,0,0,sp: onondaga county,76.0,579.0,0.0,655.0,-76.196117,43.00653,Onondaga,12.0,19.0
Ontario County State Police,12.0,State Police,0,0,0,sp: ontario county,34.0,247.0,0.0,281.0,-77.303277,42.856695,Ontario,12.0,19.0
Orange County State Police,12.0,State Police,0,0,0,sp: orange county,105.0,390.0,0.0,495.0,-74.306252,41.40241,Orange,12.0,19.0
Orleans County State Police,12.0,State Police,0,0,0,sp: orleans county,12.0,64.0,0.0,76.0,-78.229726,43.502287,Orleans,12.0,19.0
Oswego County State Police,12.0,State Police,0,0,0,sp: oswego county,88.0,442.0,0.0,530.0,-76.209258,43.461443,Oswego,12.0,19.0
Otsego County State Police,12.0,State Police,0,0,0,sp: otsego county,44.0,329.0,0.0,373.0,-75.028841,42.629776,Otsego,12.0,19.0
Putnam County State Police,12.0,State Police,0,0,0,sp: putnam county,17.0,71.0,0.0,88.0,-73.743882,41.427904,Putnam,12.0,19.0
Rensselaer County State Police,12.0,State Police,0,0,0,sp: rensselaer county,44.0,272.0,0.0,316.0,-73.513845,42.710421,Rensselaer,12.0,19.0
Rockland County State Police,12.0,State Police,0,0,0,sp: rockland county,3.0,4.0,0.0,7.0,-74.024645,41.154639,Rockland,12.0,19.0
St Lawrence County State Police,12.0,State Police,0,0,0,sp: st lawrence county,60.0,318.0,1.0,378.0,-75.074311,44.488112,St Lawrence,12.0,19.0
Saratoga County State Police,12.0,State Police,0,0,0,sp: saratoga county,79.0,459.0,2.0,538.0,-73.855387,43.106135,Saratoga,12.0,19.0
Schenectady County State Police,12.0,State Police,0,0,0,sp: schenectady county,10.0,38.0,0.0,48.0,-74.043548,42.817539,Schenectady,12.0,19.0
Schoharie County State Police,12.0,State Police,0,0,0,sp: schoharie county,19.0,100.0,0.0,119.0,-74.438172,42.591294,Schoharie,12.0,19.0
Schuyler County State Police,12.0,State Police,0,0,0,sp: schuyler county,4.0,23.0,0.0,27.0,-76.938603,42.419776,Schuyler,12.0,19.0
Seneca County State Police,12.0,State Police,0,0,0,sp: seneca county,19.0,88.0,0.0,107.0,-76.827088,42.782294,Seneca,12.0,19.0
Steuben County State Police,12.0,State Police,0,0,0,sp: steuben county,63.0,316.0,2.0,379.0,-77.385525,42.266725,Steuben,12.0,19.0
Suffolk County State Police,12.0,State Police,0,0,0,sp: suffolk county,19.0,18.0,0.0,37.0,-72.692218,40.943554,Suffolk,12.0,19.0
Sullivan County State Police,12.0,State Police,0,0,0,sp: sullivan county,71.0,206.0,0.0,277.0,-74.76468,41.720176,Sullivan,12.0,19.0
Tioga County State Police,12.0,State Police,0,0,0,sp: tioga county,29.0,67.0,0.0,96.0,-76.297456,42.178057,Tioga,12.0,19.0
Tompkins County State Police,12.0,State Police,0,0,0,sp: tompkins county,25.0,226.0,0.0,251.0,-76.473481,42.453003,Tompkins,12.0,19.0
Ulster County State Police,12.0,State Police,0,0,0,sp: ulster county,65.0,370.0,1.0,435.0,-74.265458,41.947216,Ulster,12.0,19.0
Warren County State Police,12.0,State Police,0,0,0,sp: warren county,33.0,231.0,0.0,264.0,-73.838139,43.555105,Warren,12.0,19.0
Washington County State Police,12.0,State Police,0,0,0,sp: washington county,33.0,92.0,0.0,125.0,-73.439428,43.312377,Washington,12.0,19.0
Wayne County State Police,12.0,State Police,0,0,0,sp: wayne county,67.0,369.0,1.0,436.0,-77.063164,43.458758,Wayne,12.0,19.0
Westchester County State Police,12.0,State Police,0,0,0,sp: westchester county,111.0,332.0,1.0,443.0,-73.745912,41.15277,Westchester,12.0,19.0
Wyoming County State Police,12.0,State Police,0,0,0,sp: wyoming county,13.0,26.0,0.0,39.0,-78.228567,42.701363,Wyoming,12.0,19.0
Yates County State Police,12.0,State Police,0,0,0,sp: yates county,3.0,23.0,0.0,26.0,-77.104324,42.638237,Yates,12.0,19.0
,,University or College,0,0,0,us merchant marine academy kings point,0.0,0.0,0.0,0.0,-73.589419,40.729612,,,
SUNY Albany,7.0,University or College,0,0,0,state university at albany police,0.0,62.0,0.0,62.0,-73.974015,42.588272,Albany,12.0,19.0
SUNY Alfred,12.0,University or College,0,0,0,state university college of technology at alfred p,3.0,14.0,0.0,17.0,-78.026115,42.247871,Allegany,12.0,19.0
SUNY Binghamton,12.0,University or College,0,0,0,binghamton university police,0.0,87.0,0.0,87.0,-75.830283,42.161977,Broome,11.473684210526315,19.0
SUNY Fredonia,12.0,University or College,0,11,9,state university college at fredonia police,0.0,10.0,0.0,10.0,-79.407595,42.304216,Chautauqua,12.0,19.0
SUNY Plattsburgh,12.0,University or College,0,0,0,state university college at plattsburgh police,1.0,28.0,0.0,29.0,-73.705643,44.752712,Clinton,12.0,19.0
SUNY Cortland,12.0,University or College,0,0,0,state university at cortland police,2.0,12.0,0.0,14.0,-76.07624,42.594039,Cortland,12.0,19.0
SUNY Delhi,12.0,University or College,0,0,0,suny college: technology,0.0,11.0,0.0,11.0,-74.966728,42.193986,Delaware,7.5,16.0
SUNY Buffalo,12.0,University or College,0,7,12,state university at buffalo police,6.0,92.0,0.0,98.0,-78.778192,42.752759,Erie,10.68,25.0
SUNY Buffalo State College,12.0,University or College,0,11,12,buffalo state college police,6.0,38.0,0.0,44.0,-78.778192,42.752759,Erie,12.0,13.0
SUNY Downstate Medical ,,University or College,0,0,0,suny health science center at brooklyn police,0.0,17.0,0.0,17.0,-73.950777,40.635133,,,
SUNY Geneseo,12.0,University or College,0,7,9,state university college at geneseo police,0.0,20.0,0.0,20.0,-77.769779,42.727485,Livingston,12.0,19.0
SUNY Morrisville,12.0,University or College,0,0,9,morrisville state college police,3.0,28.0,0.0,31.0,-75.663575,42.910026,Madison,12.0,19.0
SUNY Brockport,12.0,University or College,0,10,12,state university college at brockport police,0.0,20.0,0.0,20.0,-77.664656,43.464475,Monroe,9.333333333333334,18.0
SUNY Nanoscale Science and Engineering,,University or College,0,0,0,nanoscale science and engineering,,,,,,,Albany,11.0,3.0
SUNY Old Westbury,12.0,University or College,0,0,0,state university college at old westbury police,2.0,6.0,0.0,8.0,-73.589419,40.729612,Nassau,11.421052631578947,19.0
SUNY Optometry,,University or College,0,11,3,"state university of new york, college of optometry",0.0,1.0,0.0,1.0,-73.970174,40.776557,,,
SUNY Polytechnic Institute,12.0,University or College,0,12,6,suny institute of technology at utica/rome police,0.0,6.0,0.0,6.0,-75.434282,43.242727,Oneida,12.0,13.0
SUNY Environmental Science ,,University or College,0,0,0,suny college of environmental science & forestry p,0.0,18.0,0.0,18.0,-76.196117,43.00653,,,
SUNY Upstate Medical,12.0,University or College,0,0,0,suny upstate medical university police,6.0,74.0,0.0,80.0,-76.196117,43.00653,Onondaga,10.894736842105264,19.0
SUNY Oswego,12.0,University or College,0,12,12,oswego state university police,2.0,38.0,0.0,40.0,-76.209258,43.461443,Oswego,12.0,19.0
SUNY Oneonta,12.0,University or College,0,0,0,state university college at oneonta police,0.0,18.0,0.0,18.0,-75.028841,42.629776,Otsego,12.0,19.0
SUNY Canton,12.0,University or College,0,0,0,suny canton police,0.0,7.0,0.0,7.0,-75.074311,44.488112,St Lawrence,12.0,19.0
SUNY Potsdam,12.0,University or College,0,0,0,state university college at potsdam police,1.0,25.0,0.0,26.0,-75.074311,44.488112,St Lawrence,12.0,19.0
SUNY Cobleskill,12.0,University or College,0,0,0,suny college of agriculture & technology at cobles,1.0,6.0,0.0,7.0,-74.438172,42.591294,Schoharie,12.0,19.0
SUNY Farmingdale,12.0,University or College,0,11,11,farmingdale state college police,0.0,6.0,0.0,6.0,-72.692218,40.943554,Suffolk,11.944444444444445,18.0
SUNY Stony Brook,12.0,University or College,0,11,8,state university at stony brook police,11.0,81.0,0.0,92.0,-72.692218,40.943554,Suffolk,12.0,19.0
,,University or College,0,11,12,cornell university,,,,,,,,,
,,University or College,0,0,0,ithaca college,,,,,,,,,
SUNY New Paltz,12.0,University or College,0,12,12,state university college at new paltz police,1.0,20.0,0.0,21.0,-74.265458,41.947216,Ulster,12.0,19.0
SUNY Purchase,12.0,University or College,0,0,0,purchase college police,0.0,11.0,0.0,11.0,-73.745912,41.15277,Westchester,12.0,19.0
SUNY Maritime ,,University or College,0,0,0,state university of new york maritime college poli,0.0,11.0,0.0,11.0,-73.852939,40.848711,,,
